rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k2308,k4617
31,guildenstern,,,,,,,,,,,,,,,,,,,,,,,,,much,bid,,peal,,,music,,four,ordnance,,_exeunt,rites,,,minds,royally,royally,,shot,_exeunt,sight,presently,royally,voice,mouth,four,shows,off._,,loudly,yet,death,hear,yet,yet,bloody,stage,death,bloody,speak,hit,poison,sight,yet,cause,bloody,soldiers,soldiers,bloody,rosencrantz,speak,speak,hit,hear,yet,speak,death,hit,bodies,bodies,death,england,yet,death,yet,speak,death,yet,hit,tell,death,enter,enter,yet,tell,thee,thee
32,thee,,,,,,,,,,,,,,,,,,,,,,,,,amiss,shoot,,ordnance,,,rites,,captains,shot,,bearing,war,,,wild,passage,passage,,off._,bearing,becomes,perform,passage,draw,whose,captains,much,,,take,bloody,yet,cause,bloody,bloody,hear,put,yet,hear,sight,poison,commandment,soldiers,bloody,put,hear,dead,dead,hear,death,sight,sight,poison,speak,hear,soldiers,yet,poison,well,well,yet,yet,speak,yet,speak,bodies,yet,like,tell,death,england,tell,tell,hit,death,guildenstern,must
33,upon,,,,,,,,,,,,,,,,,,,,,,,,,bid,dead,,shot,,,war,,bear,off._,,peal,speak,,,lest,music,music,,,bodies,field,even,music,presently,voice,bear,amiss,,,sight,upshot,bloody,mouth,deliver,deliver,cause,sight,bloody,cause,soldiers,commandment,death,dead,hear,sight,cause,bodies,bodies,cause,yet,soldiers,soldiers,commandment,sight,speak,dead,hear,death,hit,hit,hear,hear,dead,hear,sight,hit,hear,speak,death,yet,yet,death,death,poison,england,must,guildenstern
34,man,,,,,,,,,,,,,,,,,,,,,,,,,shoot,march._,,off._,,,speak,,like,,,ordnance,loudly,,,mischance,rites,rites,,,peal,shows,men,rites,perform,draw,like,bid,,,becomes,purposes,casual,draw,haste,haste,mouth,soldiers,truly,mouth,dead,death,yet,bodies,cause,soldiers,stage,well,well,stage,bloody,dead,dead,death,soldiers,sight,bodies,cause,yet,commandment,commandment,cause,speak,bodies,cause,soldiers,death,speak,dead,hear,hear,speak,england,england,tell,yet,upon,upon
35,say,,,,,,,,,,,,,,,,,,,,,,,,,dead,_exeunt,,,,,loudly,,soldier,,,shot,take,,,plots,war,war,,,ordnance,much,minds,war,even,presently,soldier,soldiers,,,field,mistook,slaughters,presently,hear,hear,men,dead,deliver,stage,bodies,yet,bloody,well,mouth,dead,put,hit,hit,put,hear,bodies,bodies,yet,dead,soldiers,well,speak,bloody,death,death,put,sight,hit,put,dead,bloody,sight,bodies,cause,speak,sight,yet,yet,death,speak,man,man
36,make,,,,,,,,,,,,,,,,,,,,,,,,,march._,bearing,,,,,take,,stage,,,off._,sight,,,errors,speak,loudly,,,shot,amiss,wild,loudly,men,perform,stage,shoot,,,shows,fall,deaths,perform,call,call,minds,bearing,haste,put,hit,bloody,hear,hit,stage,bodies,sight,rest,rest,sight,cause,well,well,bloody,bodies,dead,hit,sight,hear,bloody,bloody,speak,soldiers,commandment,speak,bodies,hear,soldiers,wrong,put,sight,soldiers,speak,hear,hear,dead,osric,say
37,much,,,,,,,,,,,,,,,,,,,,,,,,,_exeunt,peal,,,,,sight,,likely,,,,becomes,,,happen,loudly,take,,,off._,bid,lest,take,minds,even,likely,dead,,,much,inventors,cunning,even,noblest,noblest,wild,peal,hear,war,poison,hear,rights,rest,put,shot,soldiers,commandment,commandment,soldiers,stage,hit,hit,hear,well,bodies,commandment,soldiers,cause,hear,hear,sight,dead,bloody,sight,wrong,cause,dead,hit,speak,soldiers,dead,sight,speak,speak,bodies,say,make
38,think,,,,,,,,,,,,,,,,,,,,,,,,,bearing,ordnance,,,,,becomes,,put,,,,field,,,four,take,sight,,,,shoot,mischance,sight,wild,men,put,march._,,,amiss,heads,forc,men,audience,audience,lest,ordnance,call,loudly,rest,call,memory,commandment,sight,well,dead,bloody,bloody,dead,put,commandment,rest,cause,hit,hit,bloody,dead,mouth,cause,cause,soldiers,bodies,hear,soldiers,hit,stage,bodies,tis,sight,dead,bodies,soldiers,sight,sight,wrong,make,much
39,marcellus,,,,,,,,,,,,,,,,,,,,,,,,,peal,shot,,,,,field,,prov,,,,shows,,,captains,sight,becomes,,,,dead,plots,becomes,lest,minds,prov,_exeunt,,,bid,truly,upshot,minds,sorrow,sorrow,mischance,shot,noblest,take,commandment,noblest,kingdom,bloody,shows,hit,shot,hear,hear,shot,sight,bloody,commandment,mouth,rest,rest,hear,bodies,stage,mouth,mouth,dead,wrong,cause,dead,tis,put,wrong,commandment,soldiers,bodies,love,dead,soldiers,soldiers,hit,much,think
40,see,,,,,,,,,,,,,,,,,,,,,,,,,ordnance,off._,,,,,shows,,royally,,,,much,,,bear,becomes,field,,,,march._,errors,field,mischance,wild,royally,bearing,,,soldiers,deliver,purposes,wild,embrace,embrace,plots,off._,audience,sight,bloody,audience,claim,upshot,much,warlike,,noblest,audience,ophelia,soldiers,hear,bloody,stage,never,never,cause,shot,put,stage,stage,bodies,tis,mouth,bodies,time,sight,tis,bloody,dead,love,wrong,bodies,dead,dead,tis,think,marcellus
41,one,,,,,,,,,,,,,,,,,,,,,,,,,shot,,,,,,much,,passage,,,,amiss,,,like,field,shows,,,,_exeunt,happen,shows,plots,lest,passage,peal,,,shoot,haste,mistook,lest,fortune,fortune,errors,,sorrow,becomes,unnatural,sorrow,vantage,purposes,amiss,rest,,audience,sorrow,well,dead,doth,hear,put,commandment,commandment,mouth,wrong,sight,put,put,shot,play._,stage,shot,cup,soldiers,_they,hear,bodies,wrong,tis,wrong,bodies,bodies,mother,marcellus,see
42,clown,,,,,,,,,,,,,,,,,,,,,,,,,off._,,,,,,amiss,,music,,,,bid,,,soldier,shows,much,,,,bearing,four,much,errors,mischance,music,ordnance,,,dead,hear,fall,mischance,rights,rights,happen,,embrace,field,acts,embrace,doth,mistook,bid,_march,,sorrow,embrace,hit,shot,invite,audience,rites,bloody,bloody,stage,_they,soldiers,sight,sight,wrong,time,put,wrong,never,dead,play._,cause,shot,tis,_they,tis,wrong,shot,time,mother,one
43,mother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bid,,rites,,,,shoot,,,stage,much,amiss,,,,peal,captains,amiss,happen,plots,rites,shot,,,march._,call,inventors,plots,memory,memory,four,,fortune,shows,accidental,fortune,invite,fall,soldiers,within._,,embrace,fortune,cup,hit,also,sorrow,war,sorrow,sorrow,put,play._,dead,soldiers,soldiers,tis,cup,sight,tis,commandment,shot,time,mouth,love,_they,play._,_they,tis,wrong,guildenstern,see,mother
44,scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shoot,,war,,,,dead,,,likely,amiss,bid,,,,ordnance,bear,bid,four,errors,war,off._,,,_exeunt,noblest,heads,errors,kingdom,kingdom,captains,,rights,much,judgments,rights,also,inventors,shoot,ambassadors,,fortune,rights,warlike,cup,cause,embrace,loudly,embrace,embrace,passage,time,shot,dead,dead,_they,rest,soldiers,_they,bloody,wrong,cup,stage,wrong,play._,time,play._,_they,second,commandment,one,time
45,heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dead,,loudly,,,,march._,,,put,bid,shoot,,,,shot,like,shoot,captains,happen,loudly,,,,bearing,audience,truly,happen,claim,claim,bear,,memory,amiss,casual,memory,cause,heads,dead,never,,rights,memory,live,warlike,mouth,fortune,take,fortune,fortune,music,cup,wrong,shot,shot,play._,never,march._,play._,hear,tis,_dies._,put,tis,time,cup,time,play._,tis,bloody,time,heaven
46,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,march._,,take,,,,_exeunt,,,prov,shoot,dead,,,,off._,soldier,dead,bear,four,take,,,,peal,sorrow,deliver,four,vantage,vantage,like,,kingdom,bid,slaughters,kingdom,mouth,truly,march._,commandment,,memory,kingdom,_dies._,live,whose,rights,sight,rights,rights,rites,warlike,tis,wrong,wrong,time,commandment,_exeunt,time,cause,_they,rest,sight,_they,cup,rest,cup,time,_they,hear,heaven,osric
