rank,exact,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k1441,k2884
31,lion,,,,,,,,,,,,,,,,,,,,,night,long,luck,robin,,,,,unearnèd,slumber,,give,,make,honest,idle,_exeunt,,titania,trip,pardon,titania,day,mend,,every,titania,titania,titania,issue,every,sing,break,house,break,bottom,night,amends,every,night,titania,every,every,issue,ever,every,every,house,house,see,night,house,night,doth,doth,play,doth,see,see,good,see,see,night,see,good,play,fairy,see,play,play,play,play,one,play,die,die,die,would,let
32,never,,,,,,,,,,,,,,,,,,,,,unto,else,scape,restore,,,,,luck,visions,,hands,,ere,unearnèd,theme,titania,,train._,away,mend,shadows,titania,honest,,bless,yielding,serpent,pardon,every,bless,issue,day,issue,day,light,amends,light,bless,amends,make,titania,day,every,titania,ever,ever,hand,hand,house,doth,hand,doth,moonshine,moonshine,ever,moonshine,play,play,night,play,play,doth,play,night,fairy,night,play,one,one,one,one,titania,one,thus,thus,must,let,hath
33,make,,,,,,,,,,,,,,,,,,,,,give,liar,serpent,,,,,,scape,appear,,friends,,long,luck,yielding,train._,,shadows,stay,honest,offended,shadows,unearnèd,,away,dream,tongue,mend,bless,break,every,titania,every,titania,sing,sprite,sing,sweet,thee,night,make,titania,titania,make,titania,titania,every,every,hand,moonshine,ever,moonshine,see,see,oberon,see,hand,hand,doth,ever,ever,moonshine,fairy,doth,doth,doth,one,fairy,fairy,doth,titania,thus,titania,play,play,thus,hath,play
34,play,,,,,,,,,,,,,,,,,,,,,hands,call,tongue,,,,,,serpent,weak,,robin,,else,scape,dream,shadows,,offended,meet,unearnèd,think,offended,luck,,stay,gentles,make,honest,palace,day,bless,reprehend,bless,luck,issue,light,issue,break,hippolyta,amends,night,make,make,night,make,make,ever,ever,every,see,titania,see,play,play,doth,play,ever,ever,moonshine,oberon,oberon,see,oberon,moonshine,moonshine,moonshine,fairy,doth,doth,moonshine,doth,see,see,doth,doth,play,play,moon
35,wall,,,,,,,,,,,,,,,,,,,,,friends,good,make,,,,,,tongue,idle,,restore,,liar,serpent,gentles,offended,,think,break,luck,mended,think,scape,,meet,reprehend,ere,unearnèd,sweet,mended,away,pardon,break,scape,every,sing,every,day,see,lord,amends,night,night,amends,night,night,titania,titania,ever,play,amends,play,well,well,moonshine,house,oberon,oberon,see,good,good,hath,doth,see,see,see,doth,moonshine,moonshine,see,moonshine,hath,hath,moonshine,must,moonshine,never,never
36,fair,,,,,,,,,,,,,,,,,,,,,robin,night,ere,,,,,,make,theme,,,,call,tongue,reprehend,think,,mended,day,scape,slumber,mended,serpent,,break,pardon,long,luck,peace,slumber,stay,mend,day,serpent,gait,issue,bless,titania,light,hippolyta,lord,amends,amends,doth,amends,amends,make,make,titania,well,doth,well,house,house,well,hand,good,good,house,doth,doth,hand,lovers,one,hath,hath,moonshine,see,see,hath,see,fairy,fairy,see,moonshine,see,make,make
37,fairy,,,,,,,,,,,,,,,,,,,,,restore,unto,long,,,,,,ere,yielding,,,,good,make,pardon,mended,,slumber,_exeunt,serpent,visions,slumber,tongue,,day,mend,else,scape,owner,visions,meet,honest,slumber,tongue,several,mark,sweet,serpent,sing,adieu,hippolyta,lord,doth,hippolyta,doth,doth,amends,amends,make,sing,adieu,sing,hand,hand,house,ever,doth,doth,hand,hath,hath,ever,hath,lovers,one,one,hath,hath,hath,fairy,hath,doth,doth,hath,see,hath,lord,fairy
38,look,,,,,,,,,,,,,,,,,,,,,,give,else,,,,,,long,dream,,,,night,ere,mend,slumber,,visions,titania,tongue,appear,visions,make,,_exeunt,honest,liar,serpent,blest,appear,break,unearnèd,visions,make,chamber,prodigious,owner,tongue,issue,see,adieu,doth,hippolyta,adieu,adieu,adieu,doth,doth,amends,house,moonshine,house,every,every,hand,titania,hath,hath,ever,well,well,oberon,well,hath,hand,hand,well,titania,ever,titania,fairy,moonshine,moonshine,fairy,hath,fairy,fairy,fair
39,moon,,,,,,,,,,,,,,,,,,,,,,hands,liar,,,,,,else,gentles,,,,unto,long,honest,visions,,appear,train._,make,weak,appear,ere,,train._,unearnèd,call,tongue,safety,weak,day,luck,appear,ere,bless,despised,blest,make,every,epilogue,moonshine,hippolyta,adieu,moonshine,moonshine,moonshine,adieu,adieu,doth,issue,epilogue,issue,ever,ever,issue,good,well,well,titania,one,one,epilogue,one,well,ever,ever,hand,lovers,titania,lovers,lovers,lovers,lovers,must,fairy,doth,doth,lord
40,may,,,,,,,,,,,,,,,,,,,,,,friends,call,,,,,,liar,reprehend,,,,give,else,unearnèd,appear,,weak,shadows,ere,idle,weak,long,,shadows,luck,good,make,rest,idle,_exeunt,scape,weak,long,palace,nativity,safety,ere,gait,well,see,adieu,moonshine,see,see,see,moonshine,moonshine,adieu,every,play,every,titania,titania,every,amends,sing,sing,amends,house,house,lovers,house,house,titania,lovers,ever,well,lovers,well,well,ever,ever,let,let,let,well,doth
